Location 1: 34308, 18447, 18441, 18442, 34309, 34466, 34467, 34465 
Location 2: 3095, 3096, 3100, 3099, 3101, 3098
Location 3: 17339, 17340, 17343, 17342, 17344, 17341 
Location 4: 34631, 34605, 34606, 34632, 34657, 34656
Location 5: 34920, 34901, 34902, 34921, 34944, 34943 
Location 6: 35729, 35713, 35714, 35730, 35745, 35744 
Location 7: 35973, 35965, 35966, 35974, 35983, 35982
Location 8: 36748, 36749, 36750, 36751, 37196, 37195
Location 9: 34018, 34019, 34022, 34021, 34023, 34020
Location 10: 36377, 36378, 36380, 36379, 37070, 37069
Location 11: 17041, 17042, 17046, 17045, 17047, 17044 
Location 12: 22193, 22194, 22195, 22211, 22210, 22209
Location 13: 21688, 21689, 21690, 21693, 21692, 21691
Location 14: 4763, 11475, 11476, 11479, 4769, 4762
Location 15: 22172, 22175, 22174, 22173, 22169, 22170
Location 16: 22045, 22046, 22047, 22060, 22059, 22058
Location 17: 4911, 21026, 21027, 21038, 4917, 4910
